Fornecedor,Destino,Produto,Quantidade,Tipo Caminhão,Essência,Espessura,Largura,Comprimento,Condição,Distância (km),Duração (h),Custo Frete (R$),Custo Madeira (R$),Total (R$),Status
,,,,,,,,,,,,,,,Calcular
,,,,,,,,,,,,,,,Calcular
,,,,,,,,,,,,,,,Calcular
,,,,,,,,,,,,,,,Calcular
,,,,,,,,,,,,,,,Calcular
,,,,,,,,,,,,,,,Calcular
,,,,,,,,,,,,,,,Calcular
,,,,,,,,,,,,,,,Calcular
,,,,,,,,,,,,,,,Calcular
,,,,,,,,,,,,,,,Calcular
,,,,,,,,,,,,,,,Calcular
,,,,,,,,,,,,,,,Calcular
,,,,,,,,,,,,,,,Calcular
,,,,,,,,,,,,,,,Calcular
,,,,,,,,,,,,,,,Calcular
,,,,,,,,,,,,,,,Calcular
,,,,,,,,,,,,,,,Calcular
,,,,,,,,,,,,,,,Calcular